종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"354320","알멕","KOSDAQ","금속","44600","-500","-1.11","285055592600"
"361570","알비더블유","KOSDAQ","오락·문화","3595","-15","-0.42","102943871145"
"131370","알서포트","KOSDAQ","디지털컨텐츠","4870","200","4.28","259410694210"
"140670","알에스오토메이션","KOSDAQ","IT부품","16150","-390","-2.36","150245711000"
"096610","알에프세미","KOSDAQ","반도체","2965","0","0.00","51550708615"
"061040","알에프텍","KOSDAQ","통신장비","4000","0","0.00","128357036000"
"148250","알엔투테크놀로지","KOSDAQ","정보기기","4350","25","0.58","32151659100"
"347860","알체라","KOSDAQ","소프트웨어","7090","-90","-1.25","152792137480"
"196170","알테오젠","KOSDAQ","기타서비스","131200","26200","24.95","6955151833600"
"123750","알톤스포츠","KOSDAQ","운송장비·부품","3050","-50","-1.61","38876205850"
"085810","알티캐스트","KOSDAQ","소프트웨어","998","-79","-7.34","29626397462"
"117670","알파홀딩스","KOSDAQ","반도체","945","0","0.00","35906404275"
"314140","알피바이오","KOSDAQ","제약","9070","-10","-0.11","78603894270"
"291650","압타머사이언스","KOSDAQ","기타서비스","3215","-5","-0.16","54591510180"
"293780","압타바이오","KOSDAQ","기타서비스","7120","160","2.30","158767925920"
"196300","애니젠","KOSDAQ","제약","17050","250","1.49","101230862700"
"310200","애니플러스","KOSDAQ","오락·문화","3505","-100","-2.77","158379229280"
"179530","애드바이오텍","KOSDAQ","제약","3135","-5","-0.16","28655291940"
"900100","애머릿지","KOSDAQ","유통","1632","-17","-1.03","64389605280"
"205500","액션스퀘어","KOSDAQ","디지털컨텐츠","1998","19","0.96","101141359398"
"052790","액토즈소프트","KOSDAQ","디지털컨텐츠","8800","0","0.00","99709614400"
"290740","액트로","KOSDAQ","IT부품","7500","-90","-1.19","75487582500"
"238090","앤디포스","KOSDAQ","비금속","3560","-105","-2.86","83807038680"
"092600","앤씨앤","KOSDAQ","반도체","2515","455","22.09","63085045255"
"129890","앱코","KOSDAQ","정보기기","1008","-36","-3.45","51048557280"
"174900","앱클론","KOSDAQ","제약","13500","290","2.20","209660062500"
"255440","야스","KOSDAQ","IT부품","11400","-110","-0.96","148861200000"
"030960","양지사","KOSDAQ","출판·매체복제","11620","-240","-2.02","185687600000"
